P5940:R0=0    
P5939:R157=12.53    P5939:R158=12.5698    P5939:R159=12.6095    P5939:R160=12.6491    
P5939:R161=12.6886    P5939:R162=12.7279    P5939:R163=12.7671    P5939:R164=12.8062    
P5939:R165=12.8452    P5939:R166=12.8841    P5939:R167=12.9228    P5939:R168=12.9615    
P5939:R169=13    P5939:R170=13.0384    P5939:R171=13.0767    P5939:R172=13.1149    
P5939:R173=13.1529    P5939:R174=13.1909    P5939:R175=13.2288    P5939:R176=13.2665    
P5939:R177=13.3041    P5939:R178=13.3417    P5939:R179=13.3791    P5939:R180=13.4164    
P5939:R181=13.4536    P5939:R182=13.4907    P5939:R183=13.5277    P5939:R184=13.5647    
P5939:R185=13.6015    P5939:R186=13.6382    P5939:R187=13.6748    P5939:R188=13.7113    
P5939:R189=13.7477    P5939:R190=13.784    P5939:R191=13.8203    P5939:R192=13.8564    
P5939:R193=13.8924    P5939:R194=13.9284    P5939:R195=13.9642    P5939:R196=14    
P5939:R197=14.0357    P5939:R198=14.0712    P5939:R199=14.1067    P5939:R200=14.1421    
P5939:R201=14.1774    P5939:R202=14.2127    P5939:R203=14.2478    P5939:R204=14.2829    
P5939:R205=14.3178    P5939:R206=14.3527    P5939:R207=14.3875    P5939:R208=14.4222    
P5939:R209=14.4568    P5939:R210=14.4914    P5939:R211=14.5258    P5939:R212=14.5602    
P5939:R213=14.5945    P5939:R214=14.6287    P5939:R215=14.6629    P5939:R216=14.6969    
P5939:R217=14.7309    P5939:R218=14.7648    P5939:R219=14.7986    P5939:R220=14.8324    
P5939:R221=14.8661    P5939:R222=14.8997    P5939:R223=14.9332    P5939:R224=14.9666    
P5939:R225=15    P5939:R226=15.0333    P5939:R227=15.0665    P5939:R228=15.0997    
P5939:R229=15.1327    P5939:R230=15.1658    P5939:R231=15.1987    P5939:R232=15.2315    
P5939:R233=15.2643    P5939:R234=15.2971    P5939:R235=15.3297    P5939:R236=15.3623    
P5939:R237=15.3948    P5939:R238=15.4272    P5939:R239=15.4596    P5939:R240=15.4919    
P5939:R241=15.5242    P5939:R242=15.5563    P5939:R243=15.5885    P5939:R244=15.6205    
P5939:R245=15.6525    P5939:R246=15.6844    P5939:R247=15.7162    P5939:R248=15.748    
P5939:R249=15.7797    P5939:R250=15.8114    P5939:R251=15.843    P5939:R252=15.8745    
P5939:R253=15.906    P5939:R254=15.9374    P5939:R255=15.9687    P5939:R256=16    
P5939:R257=16.0312    P5939:R258=16.0624    P5939:R259=16.0935    P5939:R260=16.1245    
P5939:R261=16.1555    P5939:R262=16.1864    P5939:R263=16.2173    P5939:R264=16.2481    
P5939:R265=16.2788    P5939:R266=16.3095    P5939:R267=16.3401    P5939:R268=16.3707    
P5939:R269=16.4012    P5939:R270=16.4317    P5939:R271=16.4621    P5939:R272=16.4924    
P5939:R273=16.5227    P5939:R274=16.5529    P5939:R275=16.5831    P5939:R276=16.6132    
P5939:R277=16.6433    P5939:R278=16.6733    P5939:R279=16.7033    P5939:R280=16.7332    
P5939:R281=16.7631    P5939:R282=16.7929    P5939:R283=16.8226    P5939:R284=16.8523    
P5939:R285=16.8819    P5939:R286=16.9115    P5939:R287=16.9411    P5939:R288=16.9706    
P5939:R289=17    P5939:R290=17.0294    P5939:R291=17.0587    P5939:R292=17.088    
P5939:R293=17.1172    P5939:R294=17.1464    P5939:R295=17.1756    P5939:R296=17.2047    
P5939:R297=17.2337    P5939:R298=17.2627    P5939:R299=17.2916    P5939:R300=17.3205    
P5939:R301=17.3494    P5939:R302=17.3781    P5939:R303=17.4069    P5939:R304=17.4356    
P5939:R305=17.4642    P5939:R306=17.4929    P5939:R307=17.5214    P5939:R308=17.5499    
P5939:R309=17.5784    P5939:R310=17.6068    P5939:R311=17.6352    P5939:R312=17.6635    
P5939:R313=17.6918    P5939:R314=17.72    P5939:R315=17.7482    P5939:R316=17.7764    
P5939:R317=17.8045    P5939:R318=17.8326    P5939:R319=17.8606    P5939:R320=17.8885    
P5939:R321=17.9165    P5939:R322=17.9444    P5939:R323=17.9722    P5939:R324=18    
P5939:R325=18.0278    P5939:R326=18.0555    P5939:R327=18.0831    P5939:R328=18.1108    
P5939:R329=18.1384    P5939:R330=18.1659    P5939:R331=18.1934    P5939:R332=18.2209    
P5939:R333=18.2483    P5939:R334=18.2757    P5939:R335=18.303    P5939:R336=18.3303    
P5939:R337=18.3576    P5939:R338=18.3848    P5939:R339=18.412    P5939:R340=18.4391    
P5939:R341=18.4662    P5939:R342=18.4932    P5939:R343=18.5203    P5939:R344=18.5472    
